Source,Target,Weight,Season
ADELAIDE,OLYMPIC_DAM,179,
ADELAIDE,MOOMBA,178,7
ADELAIDE,BALLERA,172,7
MELBOURNE,SYDNEY,156,7
MELBOURNE,AYERS_ROCK,107,7
MELBOURNE,KUNUNURRA,107,7
SYDNEY,MELBOURNE,92,7
SYDNEY,CAIRNS,85,7
NEWCASTLE,BRISBANE,79,7
PORT_MACQUARIE,BRISBANE,75,7
OLYMPIC_DAM,ADELAIDE,74,7
MOOMBA,ADELAIDE,65,7
MOOMBA,BALLERA,63,7
BALLERA,ADELAIDE,59,7
BALLERA,BRISBANE,57,7
PERTH,KALGOORIE,57,7
PERTH,EAST_JUARDI,55,7
PERTH,LEONORA,50,7
PERTH,MOUNT_KEITH,46,7
PERTH,LEINSTER,45,7
PERTH,TELFER,44,7
PERTH,NEWMAN,44,7
PERTH,COONDEWANNA,41,7
PERTH,BARIMUNYA,38,7
PERTH,PORT_HEDLAND,37,7
PERTH,KARRATHA,37,7
PERTH,CAPE_PRESTON,36,7
PERTH,CHRISTMAS_ISLAND,35,7
PERTH,THE_GRANITES,35,7
PERTH,AYERS_ROCK,34,7
AYERS_ROCK,PERTH,34,7
AYERS_ROCK,CAIRNS,33,7
AYERS_ROCK,BRISBANE,33,7
AYERS_ROCK,MELBOURNE,33,7
ALICE_SPRINGS,THE_GRANITES,33,7
ALICE_SPRINGS,BRISBANE,33,7
THE_GRANITES,DARWIN,31,7
THE_GRANITES,PERTH,31,7
THE_GRANITES,ALICE_SPRINGS,31,7
KUNUNURRA,MELBOURNE,30,7
CHRISTMAS_ISLAND,PERTH,30,7
PORT_HEDLAND,PERTH,29,7
KARRATHA,PERTH,27,7
CAPE_PRESTON,PERTH,27,7
TELFER,PERTH,27,7
BARIMUNYA,PERTH,26,7
COONDEWANNA,PERTH,26,7
LEINSTER,MOUNT_KEITH,25,7
LEINSTER,PERTH,25,7
LEONORA,PERTH,25,7
MOUNT_KEITH,LEINSTER,25,7
MOUNT_KEITH,PERTH,24,7
KALGOORIE,PERTH,24,7
EAST_JUARDI,PERTH,24,7
GROOTE_EYLANDT,CAIRNS,24,7
WEIPA,CAIRNS,24,7
CAIRNS,WEIPA,24,7
CAIRNS,GROOTE_EYLANDT,23,7
CAIRNS,CENTURY,23,7
CAIRNS,CLONCURRY,21,7
CAIRNS,CANNINGTON,21,7
CAIRNS,TOWNSVILLE,21,7
CAIRNS,SYDNEY,21,7
CAIRNS,BRISBANE,21,7
TOWNSVILLE,CANNINGTON,21,7
TOWNSVILLE,CLONCURRY,21,7
TOWNSVILLE,CAIRNS,21,7
TOWNSVILLE,MOUNT_ISA,20,7
TOWNSVILLE,PHOSPHATE_HILL,20,7
CENTURY,CAIRNS,20,7
MOUNT_ISA,TOWNSVILLE,19,7
MOUNT_ISA,BRISBANE,19,7
MOUNT_ISA,CLONCURRY,19,7
CLONCURRY,CAIRNS,19,7
CLONCURRY,TOWNSVILLE,19,7
CLONCURRY,BRISBANE,18,7
CLONCURRY,MOUNT_ISA,18,7
PHOSPHATE_HILL,TOWNSVILLE,18,7
CANNINGTON,BRISBANE,18,7
CANNINGTON,TOWNSVILLE,18,7
CANNINGTON,CAIRNS,18,7
ROCKHAMPTON,BRISBANE,17,7
GLADSTONE,BRISBANE,17,7
BUNDABERG,BRISBANE,17,7
EMERALD,BRISBANE,16,7
EMERALD,SUNSHINE_COAST,16,7
MILES,BRISBANE,15,7
SUNSHINE_COAST,BRISBANE,15,7
SUNSHINE_COAST,EMERALD,15,7
BRISBANE,SUNSHINE_COAST,14,7
BRISBANE,BUNDABERG,14,7
BRISBANE,GLADSTONE,14,7
BRISBANE,ROCKHAMPTON,14,7
BRISBANE,PORT_MACQUARIE,14,7
BRISBANE,NEWCASTLE,14,7
BRISBANE,BALLERA,14,7
BRISBANE,MILES,13,7
BRISBANE,AYERS_ROCK,13,7
BRISBANE,ALICE_SPRINGS,13,7
BRISBANE,EMERALD,12,7
BRISBANE,CANNINGTON,12,7
BRISBANE,MOUNT_ISA,12,7
BRISBANE,CLONCURRY,11,7
BRISBANE,CAIRNS,11,7
BRISBANE,PORT_MORESBY,11,7
PORT_MORESBY,BRISBANE,11,7
DARWIN,SORONG,11,7
DARWIN,KOROR,11,7
DARWIN,GROOTE_EYLANDT,11,7
DARWIN,THE_GRANITES,11,7
YULARA,ADELAIDE,11,7
YULARA,MELBOURNE,11,7
YULARA,SYDNEY,11,7
YULARA,BRISBANE,11,7
YULARA,CAIRNS,11,7
ADELAIDE,WOOMERA,11,7
ADELAIDE,YULARA,11,7
MELBOURNE,YULARA,11,7
SYDNEY,YULARA,11,7
BRISBANE,YULARA,11,7
CAIRNS,YULARA,11,
WOOMERA,ADELAIDE,11,7
BIRDSVILLE,ADELAIDE,11,7
ADELAIDE,BIRDSVILLE,11,7
TREPALL,CAIRNS,11,7
TREPALL,TOWNSVILLE,11,7
TREPALL,BRISBANE,11,7
ROMA,BRISBANE,11,7
BRISBANE,ROMA,11,7
CAIRNS,MADANG,11,7
CAIRNS,KAVIENG,11,7
CAIRNS,ALOUTAU,11,7
MADANG,CAIRNS,11,7
KAVIENG,CAIRNS,11,7
ALOUTAU,CAIRNS,11,7
SORONG,DARWIN,11,7
KOROR,DARWIN,11,7
