Source,Target,Weight,Season
ADELAIDE,DARWIN,400,4
ADELAIDE,HOBART,400,4
ADELAIDE,MELBOURNE,400,4
ADELAIDE,SYDNEY,400,4
ADELAIDE,AVALON,400,4
ADELAIDE,GOLD,400,4
ADELAIDE,BRISBANE,400,4
ADELAIDE,SUNSHINE,400,4
ADELAIDE,CAIRNS,400,4
ADELAIDE,PERTH,400,4
ADELAIDE,DENPASAR,400,4
BALLINA,SYDNEY,400,4
BALLINA,MELBOURNE,400,4
BRISBANE,DENPASAR,400,4
BRISBANE,LAUNCESTON,400,4
BRISBANE,HOBART,400,4
BRISBANE,MELBOURNE, 300,4
BRISBANE,ADELAIDE,300,4
BRISBANE,PERTH,300,4
BRISBANE,YULARA,300,4
BRISBANE,MACKAY,300,4
BRISBANE,TOWNSVILLE,300,4
BRISBANE,CAIRNS,300,4
BRISBANE,NEWCASTLE,300,4
BRISBANE,SYDNEY,300,4
BRISBANE,DARWIN,300,4
BUSSELTON,PERTH,300,4
CAIRNS,TOKYO,300,4
CAIRNS,OSAKA,300,4
CAIRNS,DENPASAR,300,4
CAIRNS,DARWIN,300,4
CAIRNS,PERTH,300,4
CAIRNS,ADELAIDE,300,4
CAIRNS,MELBOURNE,300,4
CAIRNS,SYDNEY,300,4
CAIRNS,BRISBANE,300,4
CAIRNS,GOLD,300,4
DARWIN,DENPASAR,300,4
DARWIN,CAIRNS,300,4
DARWIN,BRISBANE,300,4
DARWIN,SYDNEY,300,4
DARWIN,MELBOURNE,300,4
DARWIN,ADELAIDE,300,4
GOLD,TOKYO,300,
GOLD,PERTH,300,4
GOLD,CAIRNS,300,4
GOLD,NEWCASTLE,300,4
GOLD,SYDNEY,250,4
GOLD,MELBOURNE,250,4
GOLD,ADELAIDE,250,4
GOLD,AVALON,250,4
GOLD,AUCKLAND,250,4
GOLD,WELLINGTON,250,4
GOLD,CHRISTCHURCH,250,4
GOLD,QUEENSTOWN,250,4
HAMILTON,SYDNEY,250,4
HOBART,BRISBANE,250,4
HOBART,MELBOURNE,250,4
HOBART,ADELAIDE,250,4
LAUNCESTON,BRISBANE,250,4
LAUNCESTON,SYDNEY,250,4
LAUNCESTON,MELBOURNE,250,4
MACKAY,BRISBANE,250,4
MELBOURNE,HONOLULU,200,4
MELBOURNE,BANGKOK,200,4
MELBOURNE,PHUKET,200,4
MELBOURNE,DENPASAR,200,4
MELBOURNE,HO,200,4
MELBOURNE,CAIRNS,200,4
MELBOURNE,TOWNSVILLE,200,4
MELBOURNE,DARWIN,200,4
MELBOURNE,YULARA,200,4
MELBOURNE,BUSSELTON,200,4
MELBOURNE,PERTH,200,4
MELBOURNE,ADELAIDE,200,4
MELBOURNE,LAUNCESTON,200,4
MELBOURNE,HOBART,200,4
MELBOURNE,SYDNEY,200,4
MELBOURNE,NEWCASTLE,200,4
MELBOURNE,BALLINA,150,4
MELBOURNE,GOLD,150,4
MELBOURNE,BRISBANE,150,4
MELBOURNE,SUNSHINE,150,4
MELBOURNE,PROSERPINE,150,4
MELBOURNE,AUCKLAND,150,4
MELBOURNE,CHRISTCHURCH,150,4
MELBOURNE,QUEENSTOWN,150,4
AVALON,GOLD,150,4
AVALON,SYDNEY,150,4
AVALON,ADELAIDE,150,4
NEWCASTLE,BRISBANE,150,4
NEWCASTLE,GOLD,150,4
NEWCASTLE,MELBOURNE,150,4
PERTH,CAIRNS,150,4
PERTH,GOLD,150,4
PERTH,SYDNEY,100,4
PERTH,MELBOURNE,50,4
PERTH,ADELAIDE,50,4
PERTH,DENPASAR,50,4
PROSERPINE,BRISBANE,50,4
PROSERPINE,SYDNEY,50,4
PROSERPINE,MELBOURNE,50,4
SUNSHINE,SYDNEY,50,4
SUNSHINE,MELBOURNE,50,4
SUNSHINE,ADELAIDE,50,4
SYDNEY,HONOLULU,50,4
SYDNEY,HO,50,4
SYDNEY,PHUKET,50,4
SYDNEY,DENPASAR,50,4
SYDNEY,NADI,50,4
SYDNEY,DARWIN,50,4
SYDNEY,PERTH,50,4
SYDNEY,YULARA,30,4
SYDNEY,ADELAIDE,30,4
SYDNEY,AUCKLAND,30,4
SYDNEY,QUEENSTOWN,30,4
SYDNEY,LAUNCESTON,30,4
SYDNEY,HOBART,30,4
SYDNEY,CAIRNS,30,4
SYDNEY,TOWNSVILLE,30,4
SYDNEY,PROSERPINE,30,4
SYDNEY,HAMILTON,30,4
SYDNEY,SUNSHINE,30,4
SYDNEY,BRISBANE,30,4
SYDNEY,GOLD,30,4
SYDNEY,BALLINA,30,4
TOWNSVILLE,BRISBANE,30,4
TOWNSVILLE,SYDNEY,30,4
TOWNSVILLE,MELBOURNE,20,4
YULARA,BRISBANE,20,4
YULARA,SYDNEY,20,4
YULARA,MELBOURNE,20,4
RAROTONGA,AUCKLAND,20,4
NADI,SYDNEY,20,4
DENPASAR,SINGAPORE,20,4
DENPASAR,PERTH,20,4
DENPASAR,DARWIN,20,4
DENPASAR,CAIRNS,20,4
DENPASAR,BRISBANE,20,4
DENPASAR,MELBOURNE,20,4
DENPASAR,SYDNEY,20,4
DENPASAR,ADELAIDE,20,4
OSAKA,CAIRNS,20,4
TOKYO,CAIRNS,20,4
TOKYO,GOLD,10,4
AUCKLAND,GOLD,10,4
AUCKLAND,SYDNEY,10,4
AUCKLAND,MELBOURNE,10,4
AUCKLAND,WELLINGTON,10,4
AUCKLAND,CHRISTCHURCH,10,4
AUCKLAND,QUEENSTOWN,10,4
AUCKLAND,DUNEDIN,10,4
AUCKLAND,RAROTONGA,10,4
CHRISTCHURCH,WELLINGTON,10,4
CHRISTCHURCH,CHRISTCHURCH,10,4
CHRISTCHURCH,GOLD,10,4
CHRISTCHURCH,MELBOURNE,10,4
DUNEDIN,AUCKLAND,10,4
QUEENSTOWN,AUCKLAND,10,4
QUEENSTOWN,WELLINGTON,10,4
QUEENSTOWN,GOLD,5,4
QUEENSTOWN,SYDNEY,5,4
QUEENSTOWN,MELBOURNE,5,4
WELLINGTON,AUCKLAND,5,4
WELLINGTON,CHRISTCHURCH,5,4
WELLINGTON,QUEENSTOWN,5,4
WELLINGTON,GOLD,5,4
SINGAPORE,DENPASAR,5,4
BANGKOK,MELBOURNE,5,4
PHUKET,SYDNEY,5,4
PHUKET,MELBOURNE,5,4
HONOLULU,SYDNEY,5,4
HONOLULU,MELBOURNE,5,4
HO,SYDNEY,5,4
HO,MELBOURNE,5,4
SEOUL,GOLD,100,4
GOLD,SEOUL,1,4
