Source,Target,Weight,Season
ADELAIDE,ALICE SPRINGS,4547488232,3
ADELAIDE,BRISBANE,2878466745,3
ADELAIDE,CAIRNS,3523533228,3
ADELAIDE,CANBERRA,1298992440,3
ADELAIDE,DARWIN,1189155582,3
ADELAIDE,GOLD COAST,3935866302,3
ADELAIDE,MELBOURNE,4130723572,3
ADELAIDE,PERTH,1645474670,3
ADELAIDE,PORT LINCOLN,1547655811,3
ADELAIDE,SYDNEY,610424556,3
ADELAIDE,WHYALLA,436316130,3
ALBURY,SYDNEY,1850893173,3
ALICE SPRINGS,ADELAIDE,914026192,3
ALICE SPRINGS,BRISBANE,190672896,3
ALICE SPRINGS,CAIRNS,330854272,3
ALICE SPRINGS,DARWIN,997742482,3
ALICE SPRINGS,MELBOURNE,479032068,3
ALICE SPRINGS,PERTH,540755664,3
ALICE SPRINGS,SYDNEY,1882395570,3
ALICE SPRINGS,AYERS ROCK,286137502,3
ARMIDALE,SYDNEY,1076309160,3
AUCKLAND,BRISBANE,255242256,3
AUCKLAND,BLENHEIM,1022753849,3
AUCKLAND,CHRISTCHURCH,360262377,3
AUCKLAND,DUNEDIN,440386384,3
AUCKLAND,GISBORNE,577099870,3
AUCKLAND,GOLD COAST,273894178,3
AUCKLAND,KERI KERI,863180616,3
AUCKLAND,MELBOURNE,133406349,3
AUCKLAND,NAPIER,416171028,3
AUCKLAND,NELSON,172818396,3
AUCKLAND,NEW PLYMOUTH,105952106,3
AUCKLAND,PALMERSTON NORTH,165148980,3
AUCKLAND,QUEENSTOWN,176727384,3
AUCKLAND,ROTORUA,197289756,
AUCKLAND,SYDNEY,54005100,3
AUCKLAND,TAURANGA,298175636,3
AUCKLAND,WELLINGTON,56466620,3
AVALON,SYDNEY,3,3
BALLINA,SYDNEY,67804972,3
BARCALDINE,BRISBANE,267532070,3
BARCALDINE,LONGREACH,67022706,3
BENDIGO,SYDNEY,136551793,3
BLACKALL,LONGREACH,254461698,3
BLENHEIM,AUCKLAND,364896137,3
BLENHEIM,WELLINGTON,364896137,3
BRISBANE,BLACKALL,364896137,3
BRISBANE,BROOME,364896137,3
BRISBANE,BUNDABERG,364896137,3
BRISBANE,CAIRNS,364896137,3
BRISBANE,CANBERRA,364896137,3
BRISBANE,CHARLEVILLE,364896137,3
BRISBANE,CHRISTCHURCH,364896137,3
BRISBANE,DARWIN,364896137,3
BRISBANE,EMERALD,364896137,3
BRISBANE,FRASER COAST,364896137,3
BRISBANE,GLADSTONE,364896137,3
BRISBANE,HAMILTON ISLAND,364896137,3
BRISBANE,LAUNCESTON,364896137,3
BRISBANE,LONGREACH,364896137,3
BRISBANE,LORD HOWE ISLAND,364896137,3
BRISBANE,MACKAY,364896137,3
BRISBANE,MELBOURNE,364896137,3
BRISBANE,MORANBAH,364896137,3
BRISBANE,MOUNT ISA,364896137,3
BRISBANE,NEWCASTLE,364896137,3
BRISBANE,PERTH,364896137,3
BRISBANE,PORT HEDLAND,364896137,3
BRISBANE,PROSERPINE,364896137,3
BRISBANE,ROCKHAMPTON,364896137,3
BRISBANE,QUEENSTOWN,364896137,3
BRISBANE,ROMA,364896137,3
BRISBANE,SYDNEY,364896137,3
BRISBANE,TAMWORTH,364896137,3
BRISBANE,TOWNSVILLE,364896137,3
BROOME,BRISBANE,364896137,3
BROOME,DARWIN,364896137,3
BROOME,KUNUNURRA,364896137,3
BROOME,MELBOURNE,364896137,3
BROOME,PERTH,364896137,3
