Source,Target,Weight,Season
ADELAIDE,BRISBANE,151,6
ADELAIDE,MELBOURNE,88,6
ADELAIDE,SYDNEY,86,6
BRISBANE,ADELAIDE,83,6
BRISBANE,CAIRNS,82,6
BRISBANE,CANBERRA,81,6
BRISBANE,MELBOURNE,80,6
BRISBANE,SYDNEY,80,6
CAIRNS,BRISBANE,76,6
CAIRNS,MELBOURNE,76,6
CAIRNS,SYDNEY,72,6
CANBERRA,BRISBANE,69,6
CANBERRA,MELBOURNE,66,6
COFFS HARBOUR,MELBOURNE,64,6
COFFS HARBOUR,SYDNEY,60,6
GOLD COAST,HOBART,57,6
GOLD COAST,MELBOURNE,54,6
GOLD COAST,SYDNEY,54,6
HOBART,GOLD COAST,54,6
HOBART,MELBOURNE,51,6
MELBOURNE,ADELAIDE,50,6
MELBOURNE,BRISBANE,50,6
MELBOURNE,CAIRNS,49,6
MELBOURNE,CANBERRA,48,6
MELBOURNE,COFFS HARBOUR,48,6
MELBOURNE,GOLD COAST,48,6
MELBOURNE,HOBART,46,6
MELBOURNE,PERTH,44,6
MELBOURNE,SYDNEY,41,6
PERTH,MELBOURNE,40,6
PERTH,SYDNEY,39,6
SYDNEY,ADELAIDE,38,6
SYDNEY,BRISBANE,38,6
SYDNEY,CAIRNS,37,6
SYDNEY,COFFS HARBOUR,36,6
SYDNEY,GOLD COAST,36,6
SYDNEY,MELBOURNE,36,6
SYDNEY,PERTH,35,6
PERTH,SINGAPORE,34,6
SINGAPORE,PERTH,34,6
