Id,Label
ADELAIDE,Adelaide
ALICE_SPRINGS,Alice Springs
AYERS_ROCK,Ayers Rock
BALLERA,Ballera
BARIMUNYA,Barimunya
BRISBANE,Brisbane
BUNDABERG,Bundaberg
CAIRNS,Cairns
CANNINGTON,Cannington
CAPE_PRESTON,Cape Preston
CENTURY,Century
CHRISTMAS_ISLAND,Christmas Island
CLONCURRY,Cloncurry
COONDEWANNA,Coondewanna
DARWIN,Darwin
EAST_JUARDI,East Juardi
EMERALD,Emerald
GLADSTONE,Gladstone
GROOTE_EYLANDT,Groote Eylandt
KALGOORIE,Kalgoorie
KARRATHA,Karratha
KUNUNURRA,Kununurra
LEINSTER,Leinster
LEONORA,Leonora
MELBOURNE,Melbourne
MILES,Miles
MOOMBA,Moomba
MOUNT_ISA,Mount Isa
MOUNT_KEITH,Mount Keith
NEWCASTLE,Newcastle
NEWMAN,Newman
OLYMPIC_DAM,Olympic Dam
PERTH,Perth
PHOSPHATE_HILL,Phosphate Hill
PORT_HEDLAND,Port Hedland
PORT_MACQUARIE,Port Macquarie
PORT_MORESBY,Port Moresby
ROCKHAMPTON,Rockhampton
SUNSHINE_COAST,Sunshine Coast
SYDNEY,Sydney
TELFER,Telfer
THE_GRANITES,The Granites
TOWNSVILLE,Townsville
WEIPA,Weipa
MADANG,Madang
KAVIENG,Kavieng
ALOUTAU,Aloutau
TREPALL,Trepall
ROMA,Roma
WOOMERA,Woomera
BIRDSVILLE,Birdsville
YULARA,Yulara
SORONG,Sorong
KOROR,Koror
