Id,Label
ADELAIDE,Adelaide
AUCKLAND,Auckland
AVALON,Avalon
BALLINA,Ballina
BANGKOK,Bangkok
BRISBANE,Brisbane
BUSSELTON,Busselton
CAIRNS,Cairns
CHRISTCHURCH,Christchurch
DARWIN,Darwin
DENPASAR,Denpasar
DUNEDIN,Dunedin
GOLD,Gold Coast
HAMILTON,Hamilton Island
HO,Ho Chi Minh
HOBART,Hobart
HONOLULU,Honolulu
LAUNCESTON,Launceston
MACKAY,Mackay
MELBOURNE,Melbourne
NADI,Nadi
NEWCASTLE,Newcastle
OSAKA,Osaka
PERTH,Perth
PHUKET,Phuket
PROSERPINE,Proserpine
QUEENSTOWN,Queenstown
RAROTONGA,Rarotonga Island
SEOUL,Seoul 
SINGAPORE,Singapore
SUNSHINE,Sunshine Coast
SYDNEY,Sydney
TOKYO,Tokyo
TOWNSVILLE,Townsville
WELLINGTON,Wellington
YULARA,Yulara
