Id,Label
ADELAIDE,Adelaide
ALBURY,Albury
ALICE SPRINGS,Alice Springs
ARMIDALE,Armidale
AUCKLAND,Auckland
AVALON,Avalon
AYERS ROCK,Ayers Rock
BALLINA,Ballina
BARCALDINE,Barcaldine
BENDIGO,Bendigo
BLACKALL,Blackall
BLENHEIM,Blenheim
BRISBANE,Brisbane
BROOME,Broome
BUNDABERG,Bundaberg
CAIRNS,Cairns
CANBERRA,Canberra
CHARLEVILLE,Charleville
CHRISTCHURCH,Christchurch
CLONCURRY,Cloncurry
COFFS HARBOUR,Coffs Harbour
DARWIN,Darwin
DEVONPORT,Devonport
DUBBO,Dubbo
DUNEDIN,Dunedin
EMERALD,Emerald
EXMOUTH,Exmouth
FRASER COAST,Fraser Coast
GERALDTON,Geraldton
GISBORNE,Gisborne
GLADSTONE,Gladstone
GOLD COAST,Gold Coast
GOVE,Gove
HAMILTON ISLAND,Hamilton Island
HOBART,Hobart
HORN ISLAND,Horn Island
KALGOORLIE,Kalgoorlie
KANGAROO,Kangaroo Island
KARRATHA,Karratha
KERI KERI,Keri Keri
KERIKERI,Kerikeri
KUNUNURRA,Kununurra
LAUNCESTON,Launceston
LONGREACH,Longreach
LORD HOWE ISLAND,Lord Howe Island
MACKAY,Mackay
MELBOURNE,Melbourne
MILDURA,Mildura
MORANBAH,Moranbah
MOREE,Moree
MOUNT ISA,Mount Isa
NAPIER,Napier
NELSON,Nelson
NEW PLYMOUTH,New Plymouth
NEWCASTLE,Newcastle
NEWMAN,Newman
ORANGE,Orange
PALMERSTON NORTH,Palmerston North
PARABURDOO,Paraburdoo
PERTH,Perth
PORT HEDLAND,Port Hedland
PORT LINCOLN,Port Lincoln
PORT MACQUARIE,Port Macquarie
PROSERPINE,Proserpine
QUEENSTOWN,Queenstown
ROCKHAMPTON,Rockhampton
ROMA,Roma
ROTORUA,Rotorua
SUNSHINE COAST,Sunshine Coast
SYDNEY,Sydney
TAMWORTH,Tamworth
TAURANGA,Tauranga
TOOWOOMBA,Toowoomba
TOWNSVILLE,Townsville
ULURU,Uluru
WAGGA WAGGA,Wagga Wagga
WEIPA,Weipa
WELLINGTON,Wellington
WHYALLA,Whyalla
BANGKOK,Bangkok
CHICAGO,Chicago
DALLAS-FORT WORTH,Dallas-Fort Worth
HONG KONG,Hong Kong
JAKARTA,Jakarta
JOHANNESBURG,Johannesburg
LONDON,London
LOS ANGELES,Los Angeles
MANILA,Manila
NEW YORK CITY ,New York City 
SAN FRANCISCO,San Francisco
SANTIAGO DE CHILE,Santiago De Chile
SAPPORO,Sapporo
SHANGHAI,Shanghai
SINGAPORE,Singapore
VANCOUVER,Vancouver
