Id,Label
ADELAIDE, Adelaide
ALBANY, Albany
ALBURY,Albury
BALLINA,Ballina
BAMAGA,Bamaga
BATHURST,Bathurst
BEDOURIE,Bedourie
BIRDSVILLE,Birdsville
BOULIA,Boulia
BRISBANE,Brisbane
BROKEN HILL,Broken Hill
BURNIE,Burnie
CAIRNS,Cairns
CARNARVON,Carnarvon
CEDUNA,Ceduna
CHARLEVILLE,Charleville
COOBER PEDY,Coober Pedy
COOMA,Cooma
CUNNAMULLA,Cunnamulla
DOOMADGEE,Doomadgee
DUBBO,Dubbo
ESPERANCE,Esperance
GRAFTON,Grafton
GRIFFITH,Griffith
HUGHENDEN,Hughenden
JULIA CREEK,Julia Creek
KING ISLAND,King Island
KINGSCOTE,Kingscote
LISMORE,Lismore
LONGREACH,Longreach
MELBOURNE,Melbourne
MERIMBULA,Merimbula
MILDURA,Mildura
MONKEY MIA,Monkey Mia
MORNINGTON ISLAND,Mornington Island
MORUYA,Moruya
MOUNT GAMBIER,Mount Gambier
MOUNT ISA,Mount Isa
NARRANDERA,Narrandera
NORMANTON,Normanton
ORANGE,Orange
PARKES,Parkes
PERTH,Perth
PORT LINCOLN,Port Lincoln
QUILPIE,Quilpie
RICHMOND,Richmond
ST GEORGE,St George
SYDNEY,Sydney
THARGOMINDAH,Thargomindah
TOOWOOMBA,Toowoomba
TOWNSVILLE,Townsville
WAGGA WAGGA,Wagga Wagga
WHYALLA,Whyalla
WINDORAH,Windorah
WINTON,Winton
