Id,Label
ADELAIDE,Adelaide
ALBURY, Albury
ALICE SPRINGS,Alice Springs
APIA,Apia
AUCKLAND,Auckland
BALLINA, Ballina
BRISBANE,Brisbane
BROOME, Broome
BUNDABERG, Bundaberg
CAIRNS,Cairns
CANBERRA,Canberra
CHRISTCHURCH,Christchurch
CHRISTMAS ISLAND,Christmas Island
CLONCURRY,Cloncurry
COCOS,Cocos
COFFS HARBOUR,Coffs Harbour
DARWIN,Darwin
DENPASAR,Denpasar
DUNEDIN,Dunedin
EMERALD,Emerald
GLADSTONE,Gladstone
GOLD COAST,Gold Coast
HAMILTON ISLAND,Hamilton Island
HERVEY BAY,Hervey Bay
HOBART,Hobart
HONG KONG,Hong Kong
HONIARA,Honiara
KALGOORIE,Kalgoorie
KARRATHA,Karratha
KUNUNURRA,Kununurra
LAUNCESTON,Launceston
LOS ANGELES,Los Angeles
MACKAY,Mackay
MELBOURNE,Melbourne
MILDURA,Mildura
MOUNT ISA,Mount Isa
NADI,Nadi
NEWCASTLE,Newcastle
NEWMAN,Newman
NUKU ALOFA,Nuku Alofa
ONSLOW,Onslow
PERTH,Perth
PORT HEDLAND, Port Hedland
PORT MACQUARIE, Port Macquarie
PORT MORESBY,Port Moresby
PORT VILA,Port Vila
PROSERPINE,Proserpine
QUEENSTOWN,Queenstown
ROCKHAMPTON,Rockhampton
SUNSHINE COAST,Sunshine Coast
SYDNEY,Sydney
TAMWORTH,Tamworth
TOKYO,Tokyo
TOWNSVILLE,Townsville
WELLINGTON,Wellington
YULARA,Yulara
